date,time,distance,pace,gap,hr,elevation
30/01/2018,00:57:02,9.63,05:55,05:32,156,214
01/02/2018,00:49:34,8.56,05:47,05:28,161,169
03/02/2018,01:26:13,15.1,05:43,05:21,161,307
06/02/2018,00:49:50,9.03,05:31,05:13,155,184
08/02/2018,00:50:05,8.8,05:42,05:22,160,178
10/02/2018,01:58:06,20.06,05:53,05:30,165,414
13/02/2018,00:51:09,8.79,05:49,05:30,153,174
15/02/2018,00:51:46,9.19,05:38,05:20,162,183
17/02/2018,02:09:09,21.44,06:01,05:38,162,439
20/02/2018,00:40:35,7.09,05:43,05:25,154,142
22/02/2018,00:39:58,7.31,05:28,05:10,149,145
24/02/2018,01:29:40,16.06,05:35,05:14,155,319
27/02/2018,00:51:00,9.04,05:38,05:19,161,186
01/03/2018,00:50:10,8.81,05:42,05:22,157,180
03/03/2018,02:32:42,26.37,05:47,05:25,163,553
04/03/2018,00:41:25,8.38,04:56,04:48,152,105
06/03/2018,01:00:22,10.73,05:37,05:17,173,230
08/03/2018,00:50:18,9.02,05:34,05:16,162,179
10/03/2018,02:47:32,29.08,05:46,05:23,155,624
